query	raw_translation	translation
milkfish	"['""milkfish""[All Fields]', 'milkfish[All Fields]']"	['milkfish']
millet	"['""millets""[MeSH Terms] OR ""millets""[All Fields] OR ""millet""[All Fields]', '""millets""[MeSH Terms] OR ""millets""[All Fields] OR ""millet""[All Fields]']"	['millet', 'millets']
mitchella repens	"['""mitchella""[All Fields] AND ""repens""[All Fields]', 'mitchella[All Fields] AND repens[All Fields]']"	['mitchella repens']
molva molva	"['""molva""[All Fields] AND ""molva""[All Fields]', 'molva[All Fields] AND molva[All Fields]']"	['molva molva']
momordica charantia	"['""momordica charantia""[MeSH Terms] OR (""momordica""[All Fields] AND ""charantia""[All Fields]) OR ""momordica charantia""[All Fields]', '""momordica charantia""[MeSH Terms] OR (""momordica""[All Fields] AND ""charantia""[All Fields]) OR ""momordica charantia""[All Fields]']"	['momordica charantia']
monk fruit	"['(""monks""[MeSH Terms] OR ""monks""[All Fields] OR ""monk""[All Fields]) AND (""fruit""[MeSH Terms] OR ""fruit""[All Fields] OR ""fruits""[All Fields] OR ""fruit s""[All Fields] OR ""fruited""[All Fields] OR ""fruiting""[All Fields])', '(""monks""[MeSH Terms] OR ""monks""[All Fields] OR ""monk""[All Fields]) AND (""fruit""[MeSH Terms] OR ""fruit""[All Fields])']"	['monk fruit', 'monk fruit s', 'monk fruited', 'monk fruiting', 'monk fruits', 'monks fruit', 'monks fruit s', 'monks fruited', 'monks fruiting', 'monks fruits']
monkfish	"['""monkfish""[All Fields]', 'monkfish[All Fields]']"	['monkfish']
morchella	"['""morchella""[All Fields]', 'morchella[All Fields]']"	['morchella']
morchellaceae	"['""morchellaceae""[All Fields]', 'morchellaceae[All Fields]']"	['morchellaceae']
morel	"['""morel""[All Fields] OR ""morel s""[All Fields] OR ""morels""[All Fields]', 'morel[All Fields]']"	['morel', 'morel s', 'morels']
moringa oleifera	"['""moringa oleifera""[MeSH Terms] OR (""moringa""[All Fields] AND ""oleifera""[All Fields]) OR ""moringa oleifera""[All Fields]', '""moringa oleifera""[MeSH Terms] OR (""moringa""[All Fields] AND ""oleifera""[All Fields]) OR ""moringa oleifera""[All Fields]']"	['moringa oleifera']
morone saxatilis	"['(""bass""[MeSH Terms] OR ""bass""[All Fields] OR ""morone""[All Fields]) AND ""saxatilis""[All Fields]', '(""bass""[MeSH Terms] OR ""bass""[All Fields] OR ""morone""[All Fields]) AND saxatilis[All Fields]']"	['bass saxatilis', 'morone saxatilis']
morus	"['""morus""[MeSH Terms] OR ""morus""[All Fields]', '""morus""[MeSH Terms] OR ""morus""[All Fields]']"	['morus']
morus alba	"['""morus alba""[Supplementary Concept] OR ""morus alba""[All Fields] OR ""morus alba""[All Fields]', '""Morus alba""[All Fields] OR ""morus alba""[All Fields]']"	['Morus alba', 'morus alba']
morus nigra	"['(""morus""[MeSH Terms] OR ""morus""[All Fields]) AND (""nigra""[All Fields] OR ""nigra s""[All Fields] OR ""nigrae""[All Fields] OR ""nigras""[All Fields])', '(""morus""[MeSH Terms] OR ""morus""[All Fields]) AND nigra[All Fields]']"	['morus nigra', 'morus nigra s', 'morus nigrae', 'morus nigras']
moth bean	"['""vigna""[MeSH Terms] OR ""vigna""[All Fields] OR (""moth""[All Fields] AND ""bean""[All Fields]) OR ""moth bean""[All Fields]', '""vigna""[MeSH Terms] OR ""vigna""[All Fields] OR (""moth""[All Fields] AND ""bean""[All Fields]) OR ""moth bean""[All Fields]']"	['moth bean', 'vigna']
mountain hare	"['(""mountain""[All Fields] OR ""mountaineer""[All Fields] OR ""mountaineering""[MeSH Terms] OR ""mountaineering""[All Fields] OR ""mountaineers""[All Fields] OR ""mountainous""[All Fields] OR ""mountains""[All Fields]) AND (""hares""[MeSH Terms] OR ""hares""[All Fields] OR ""hare""[All Fields])', 'mountain[All Fields] AND (""hares""[MeSH Terms] OR ""hares""[All Fields] OR ""hare""[All Fields])']"	['mountain hare', 'mountain hares', 'mountaineer hare', 'mountaineer hares', 'mountaineering hare', 'mountaineering hares', 'mountaineers hare', 'mountaineers hares', 'mountainous hare', 'mountainous hares', 'mountains hare', 'mountains hares']
mountain yam	"['(""mountain""[All Fields] OR ""mountaineer""[All Fields] OR ""mountaineering""[MeSH Terms] OR ""mountaineering""[All Fields] OR ""mountaineers""[All Fields] OR ""mountainous""[All Fields] OR ""mountains""[All Fields]) AND ""yam""[All Fields]', 'mountain[All Fields] AND yam[All Fields]']"	['mountain yam', 'mountaineer yam', 'mountaineering yam', 'mountaineers yam', 'mountainous yam', 'mountains yam']
mugil cephalus	"['""mugil""[All Fields] AND ""cephalus""[All Fields]', 'mugil[All Fields] AND cephalus[All Fields]']"	['mugil cephalus']
mugwort	"['""artemisia""[MeSH Terms] OR ""artemisia""[All Fields] OR ""mugwort""[All Fields] OR ""mugworts""[All Fields]', '""artemisia""[MeSH Terms] OR ""artemisia""[All Fields] OR ""mugwort""[All Fields]']"	['artemisia', 'mugwort', 'mugworts']
mulberry	"['""morus""[MeSH Terms] OR ""morus""[All Fields] OR ""mulberries""[All Fields] OR ""mulberry""[All Fields]', '""morus""[MeSH Terms] OR ""morus""[All Fields] OR ""mulberry""[All Fields]']"	['morus', 'mulberries', 'mulberry']
mule deer	"['(""equidae""[MeSH Terms] OR ""equidae""[All Fields] OR ""mule""[All Fields]) AND (""deer""[MeSH Terms] OR ""deer""[All Fields])', '(""equidae""[MeSH Terms] OR ""equidae""[All Fields] OR ""mule""[All Fields]) AND (""deer""[MeSH Terms] OR ""deer""[All Fields])']"	['equidae deer', 'mule deer']
mundu	"['""mundu""[All Fields]', 'mundu[All Fields]']"	['mundu']
mung bean	"['""vigna""[MeSH Terms] OR ""vigna""[All Fields] OR (""mung""[All Fields] AND ""bean""[All Fields]) OR ""mung bean""[All Fields]', '""vigna""[MeSH Terms] OR ""vigna""[All Fields] OR (""mung""[All Fields] AND ""bean""[All Fields]) OR ""mung bean""[All Fields]']"	['mung bean', 'vigna']
musa acuminata	"['(""musa""[MeSH Terms] OR ""musa""[All Fields]) AND ""acuminata""[All Fields]', '(""musa""[MeSH Terms] OR ""musa""[All Fields]) AND acuminata[All Fields]']"	['musa acuminata']
musa x paradisiaca	"['(""musa""[MeSH Terms] OR ""musa""[All Fields]) AND ""x""[All Fields] AND ""paradisiaca""[All Fields]', '(""musa""[MeSH Terms] OR ""musa""[All Fields]) AND x[All Fields] AND paradisiaca[All Fields]']"	['musa x paradisiaca']
musa × paradisiaca	['', '']	[]
muscadine grape	"['(""muscadine""[All Fields] OR ""muscadines""[All Fields]) AND (""vitis""[MeSH Terms] OR ""vitis""[All Fields] OR ""grape""[All Fields] OR ""grapes""[All Fields])', 'muscadine[All Fields] AND (""vitis""[MeSH Terms] OR ""vitis""[All Fields] OR ""grape""[All Fields])']"	['muscadine grape', 'muscadine grapes', 'muscadine vitis', 'muscadines grape', 'muscadines grapes', 'muscadines vitis']
mushroom	"['""agaricales""[MeSH Terms] OR ""agaricales""[All Fields] OR ""mushroom""[All Fields] OR ""mushrooms""[All Fields]', '""agaricales""[MeSH Terms] OR ""agaricales""[All Fields] OR ""mushroom""[All Fields]']"	['agaricales', 'mushroom', 'mushrooms']
muskmelon	"['""muskmelon""[All Fields] OR ""muskmelons""[All Fields]', 'muskmelon[All Fields]']"	['muskmelon', 'muskmelons']
mussel	"['""bivalvia""[MeSH Terms] OR ""bivalvia""[All Fields] OR ""mussel""[All Fields] OR ""mussels""[All Fields] OR ""mussel s""[All Fields]', '""bivalvia""[MeSH Terms] OR ""bivalvia""[All Fields] OR ""mussel""[All Fields]']"	['bivalvia', 'mussel', 'mussel s', 'mussels']
mustard spinach	"['(""mustard plant""[MeSH Terms] OR (""mustard""[All Fields] AND ""plant""[All Fields]) OR ""mustard plant""[All Fields] OR ""mustard""[All Fields] OR ""mechlorethamine""[MeSH Terms] OR ""mechlorethamine""[All Fields] OR ""mustards""[All Fields]) AND (""spinaches""[All Fields] OR ""spinacia oleracea""[MeSH Terms] OR (""spinacia""[All Fields] AND ""oleracea""[All Fields]) OR ""spinacia oleracea""[All Fields] OR ""spinach""[All Fields])', '(""mustard plant""[MeSH Terms] OR (""mustard""[All Fields] AND ""plant""[All Fields]) OR ""mustard plant""[All Fields] OR ""mustard""[All Fields] OR ""mechlorethamine""[MeSH Terms] OR ""mechlorethamine""[All Fields]) AND (""spinacia oleracea""[MeSH Terms] OR (""spinacia""[All Fields] AND ""oleracea""[All Fields]) OR ""spinacia oleracea""[All Fields] OR ""spinach""[All Fields])']"	['mechlorethamine spinach', 'mechlorethamine spinaches', 'mechlorethamine spinacia oleracea', 'mustard plant spinach', 'mustard plant spinaches', 'mustard plant spinacia oleracea', 'mustard spinach', 'mustard spinaches', 'mustard spinacia oleracea', 'mustards spinach', 'mustards spinaches', 'mustards spinacia oleracea']
mutton	"['""mutton""[All Fields]', 'mutton[All Fields]']"	['mutton']
myoxocephalus	"['""myoxocephalus""[All Fields]', 'myoxocephalus[All Fields]']"	['myoxocephalus']
myrica	"['""myrica""[MeSH Terms] OR ""myrica""[All Fields] OR ""myricae""[All Fields]', '""myrica""[MeSH Terms] OR ""myrica""[All Fields]']"	['myrica', 'myricae']
myrica rubra	"['(""myrica""[MeSH Terms] OR ""myrica""[All Fields] OR ""myricae""[All Fields]) AND (""rubra""[All Fields] OR ""rubrae""[All Fields])', '(""myrica""[MeSH Terms] OR ""myrica""[All Fields]) AND rubra[All Fields]']"	['myrica rubra', 'myrica rubrae', 'myricae rubra', 'myricae rubrae']
myristica fragrans	"['""myristica""[MeSH Terms] OR ""myristica""[All Fields] OR (""myristica""[All Fields] AND ""fragrans""[All Fields]) OR ""myristica fragrans""[All Fields]', '""myristica""[MeSH Terms] OR ""myristica""[All Fields] OR (""myristica""[All Fields] AND ""fragrans""[All Fields]) OR ""myristica fragrans""[All Fields]']"	['myristica', 'myristica fragrans']
mytilidae	"['""mytilidae""[MeSH Terms] OR ""mytilidae""[All Fields]', '""mytilidae""[MeSH Terms] OR ""mytilidae""[All Fields]']"	['mytilidae']
mytilus edulis	"['""mytilus edulis""[MeSH Terms] OR (""mytilus""[All Fields] AND ""edulis""[All Fields]) OR ""mytilus edulis""[All Fields]', '""mytilus edulis""[MeSH Terms] OR (""mytilus""[All Fields] AND ""edulis""[All Fields]) OR ""mytilus edulis""[All Fields]']"	['mytilus edulis']
nance	"['""nance""[All Fields]', 'nance[All Fields]']"	['nance']
nanking cherry	"['""nanking""[All Fields] AND (""cherries""[All Fields] OR ""prunus avium""[MeSH Terms] OR (""prunus""[All Fields] AND ""avium""[All Fields]) OR ""prunus avium""[All Fields] OR ""cherry""[All Fields])', 'nanking[All Fields] AND (""prunus avium""[MeSH Terms] OR (""prunus""[All Fields] AND ""avium""[All Fields]) OR ""prunus avium""[All Fields] OR ""cherry""[All Fields])']"	['nanking cherries', 'nanking cherry', 'nanking prunus avium']
napa cabbage	"['""napa""[All Fields] AND (""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cabbage""[All Fields] OR ""cabbages""[All Fields])', 'napa[All Fields] AND (""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cabbage""[All Fields])']"	['napa brassica', 'napa cabbage', 'napa cabbages']
naranjilla	"['""naranjilla""[All Fields]', 'naranjilla[All Fields]']"	['naranjilla']
narrowleaf cattail	"['""narrowleaf""[All Fields] AND (""typhaceae""[MeSH Terms] OR ""typhaceae""[All Fields] OR ""cattail""[All Fields] OR ""cattails""[All Fields])', 'narrowleaf[All Fields] AND (""typhaceae""[MeSH Terms] OR ""typhaceae""[All Fields] OR ""cattail""[All Fields])']"	['narrowleaf cattail', 'narrowleaf cattails', 'narrowleaf typhaceae']
natal plum	"['(""natal""[All Fields] OR ""natally""[All Fields]) AND (""prunus domestica""[MeSH Terms] OR (""prunus""[All Fields] AND ""domestica""[All Fields]) OR ""prunus domestica""[All Fields] OR ""plum""[All Fields])', 'natal[All Fields] AND (""prunus domestica""[MeSH Terms] OR (""prunus""[All Fields] AND ""domestica""[All Fields]) OR ""prunus domestica""[All Fields] OR ""plum""[All Fields])']"	['natal plum', 'natal prunus domestica', 'natally plum', 'natally prunus domestica']
nectarine	"['""nectarine""[All Fields] OR ""nectarines""[All Fields]', 'nectarine[All Fields]']"	['nectarine', 'nectarines']
nelumbo	"['""nelumbo""[MeSH Terms] OR ""nelumbo""[All Fields]', '""nelumbo""[MeSH Terms] OR ""nelumbo""[All Fields]']"	['nelumbo']
nelumbo nucifera	"['""nelumbo""[MeSH Terms] OR ""nelumbo""[All Fields] OR (""nelumbo""[All Fields] AND ""nucifera""[All Fields]) OR ""nelumbo nucifera""[All Fields]', '""nelumbo""[MeSH Terms] OR ""nelumbo""[All Fields] OR (""nelumbo""[All Fields] AND ""nucifera""[All Fields]) OR ""nelumbo nucifera""[All Fields]']"	['nelumbo', 'nelumbo nucifera']
nephelium lappaceum	"['""sapindaceae""[MeSH Terms] OR ""sapindaceae""[All Fields] OR (""nephelium""[All Fields] AND ""lappaceum""[All Fields]) OR ""nephelium lappaceum""[All Fields]', '""sapindaceae""[MeSH Terms] OR ""sapindaceae""[All Fields] OR (""nephelium""[All Fields] AND ""lappaceum""[All Fields]) OR ""nephelium lappaceum""[All Fields]']"	['nephelium lappaceum', 'sapindaceae']
nephropidae	"['""nephropidae""[MeSH Terms] OR ""nephropidae""[All Fields]', '""nephropidae""[MeSH Terms] OR ""nephropidae""[All Fields]']"	['nephropidae']
nephrops norvegicus	"['""nephrops""[All Fields] AND ""norvegicus""[All Fields]', 'nephrops[All Fields] AND norvegicus[All Fields]']"	['nephrops norvegicus']
new zealand spinach	"['(""new zealand""[MeSH Terms] OR (""new""[All Fields] AND ""zealand""[All Fields]) OR ""new zealand""[All Fields]) AND (""spinaches""[All Fields] OR ""spinacia oleracea""[MeSH Terms] OR (""spinacia""[All Fields] AND ""oleracea""[All Fields]) OR ""spinacia oleracea""[All Fields] OR ""spinach""[All Fields])', '(""new zealand""[MeSH Terms] OR (""new""[All Fields] AND ""zealand""[All Fields]) OR ""new zealand""[All Fields]) AND (""spinacia oleracea""[MeSH Terms] OR (""spinacia""[All Fields] AND ""oleracea""[All Fields]) OR ""spinacia oleracea""[All Fields] OR ""spinach""[All Fields])']"	['new zealand spinach', 'new zealand spinaches', 'new zealand spinacia oleracea']
nopal	"['""nopal""[All Fields]', 'nopal[All Fields]']"	['nopal']
north pacific giant octopus	"['(""north""[All Fields] OR ""norths""[All Fields]) AND (""pacific""[All Fields] OR ""pacific s""[All Fields]) AND (""giant s""[All Fields] OR ""gigantism""[MeSH Terms] OR ""gigantism""[All Fields] OR ""giant""[All Fields] OR ""giants""[All Fields]) AND (""octopodiformes""[MeSH Terms] OR ""octopodiformes""[All Fields] OR ""octopus""[All Fields])', 'north[All Fields] AND pacific[All Fields] AND (""gigantism""[MeSH Terms] OR ""gigantism""[All Fields] OR ""giant""[All Fields]) AND (""octopodiformes""[MeSH Terms] OR ""octopodiformes""[All Fields] OR ""octopus""[All Fields])']"	['north pacific giant octopodiformes', 'north pacific giant octopus', 'north pacific giant s octopodiformes', 'north pacific giant s octopus', 'north pacific giants octopodiformes', 'north pacific giants octopus', 'north pacific gigantism octopodiformes', 'north pacific gigantism octopus', 'north pacific s giant octopodiformes', 'north pacific s giant octopus', 'north pacific s giant s octopodiformes', 'north pacific s giant s octopus', 'north pacific s giants octopodiformes', 'north pacific s giants octopus', 'north pacific s gigantism octopodiformes', 'north pacific s gigantism octopus', 'norths pacific giant octopodiformes', 'norths pacific giant octopus', 'norths pacific giant s octopodiformes', 'norths pacific giant s octopus', 'norths pacific giants octopodiformes', 'norths pacific giants octopus', 'norths pacific gigantism octopodiformes', 'norths pacific gigantism octopus', 'norths pacific s giant octopodiformes', 'norths pacific s giant octopus', 'norths pacific s giant s octopodiformes', 'norths pacific s giant s octopus', 'norths pacific s giants octopodiformes', 'norths pacific s giants octopus', 'norths pacific s gigantism octopodiformes', 'norths pacific s gigantism octopus']
northern bluefin tuna	"['(""northern""[All Fields] OR ""northerners""[All Fields] OR ""northerns""[All Fields]) AND ""bluefin""[All Fields] AND (""tuna""[MeSH Terms] OR ""tuna""[All Fields])', 'northern[All Fields] AND bluefin[All Fields] AND (""tuna""[MeSH Terms] OR ""tuna""[All Fields])']"	['northern bluefin tuna', 'northerners bluefin tuna', 'northerns bluefin tuna']
northern pike	"['""esocidae""[MeSH Terms] OR ""esocidae""[All Fields] OR (""northern""[All Fields] AND ""pike""[All Fields]) OR ""northern pike""[All Fields]', '""esocidae""[MeSH Terms] OR ""esocidae""[All Fields] OR (""northern""[All Fields] AND ""pike""[All Fields]) OR ""northern pike""[All Fields]']"	['esocidae', 'northern pike']
norway haddock	"['(""norway""[MeSH Terms] OR ""norway""[All Fields] OR ""norway s""[All Fields] OR ""norways""[All Fields]) AND ""haddock""[All Fields]', '(""norway""[MeSH Terms] OR ""norway""[All Fields]) AND haddock[All Fields]']"	['norway haddock', 'norway s haddock', 'norways haddock']
norway lobster	"['(""norway""[MeSH Terms] OR ""norway""[All Fields] OR ""norway s""[All Fields] OR ""norways""[All Fields]) AND (""lobster""[All Fields] OR ""lobster s""[All Fields] OR ""lobsters""[All Fields])', '(""norway""[MeSH Terms] OR ""norway""[All Fields]) AND lobster[All Fields]']"	['norway lobster', 'norway lobster s', 'norway lobsters', 'norway s lobster', 'norway s lobster s', 'norway s lobsters', 'norways lobster', 'norways lobster s', 'norways lobsters']
norway pout	"['(""norway""[MeSH Terms] OR ""norway""[All Fields] OR ""norway s""[All Fields] OR ""norways""[All Fields]) AND ""pout""[All Fields]', '(""norway""[MeSH Terms] OR ""norway""[All Fields]) AND pout[All Fields]']"	['norway pout', 'norway s pout', 'norways pout']
numida meleagris	"['(""numida""[All Fields] OR ""numidae""[All Fields]) AND ""meleagris""[All Fields]', 'numida[All Fields] AND meleagris[All Fields]']"	['numida meleagris', 'numidae meleagris']
nuphar lutea	"['(""nuphar""[MeSH Terms] OR ""nuphar""[All Fields]) AND ""lutea""[All Fields]', '(""nuphar""[MeSH Terms] OR ""nuphar""[All Fields]) AND lutea[All Fields]']"	['nuphar lutea']
nut	"['""nuts""[MeSH Terms] OR ""nuts""[All Fields] OR ""nut""[All Fields]', '""nuts""[MeSH Terms] OR ""nuts""[All Fields] OR ""nut""[All Fields]']"	['nut', 'nuts']
nutmeg	"['""myristica""[MeSH Terms] OR ""myristica""[All Fields] OR ""nutmeg""[All Fields]', '""myristica""[MeSH Terms] OR ""myristica""[All Fields] OR ""nutmeg""[All Fields]']"	['myristica', 'nutmeg']
nuttall cockle	"['(""nuttal""[All Fields] OR ""nuttall""[All Fields] OR ""nuttall s""[All Fields] OR ""nuttalli""[All Fields]) AND (""cardiidae""[MeSH Terms] OR ""cardiidae""[All Fields] OR ""cockle""[All Fields] OR ""cockles""[All Fields])', 'nuttall[All Fields] AND (""cardiidae""[MeSH Terms] OR ""cardiidae""[All Fields] OR ""cockle""[All Fields])']"	['nuttal cardiidae', 'nuttal cockle', 'nuttal cockles', 'nuttall cardiidae', 'nuttall cockle', 'nuttall cockles', 'nuttall s cardiidae', 'nuttall s cockle', 'nuttall s cockles', 'nuttalli cardiidae', 'nuttalli cockle', 'nuttalli cockles']
oat	"['""oat""[All Fields]', 'oat[All Fields]']"	['oat']
ocean pout	"['(""ocean""[All Fields] OR ""ocean s""[All Fields] OR ""oceanic""[All Fields] OR ""oceans and seas""[MeSH Terms] OR (""oceans""[All Fields] AND ""seas""[All Fields]) OR ""oceans and seas""[All Fields] OR ""oceans""[All Fields]) AND ""pout""[All Fields]', 'ocean[All Fields] AND pout[All Fields]']"	['ocean pout', 'ocean s pout', 'oceanic pout', 'oceans and seas pout', 'oceans pout', 'oceans seas pout']
ocimum basilicum	"['""ocimum basilicum""[MeSH Terms] OR (""ocimum""[All Fields] AND ""basilicum""[All Fields]) OR ""ocimum basilicum""[All Fields]', '""ocimum basilicum""[MeSH Terms] OR (""ocimum""[All Fields] AND ""basilicum""[All Fields]) OR ""ocimum basilicum""[All Fields]']"	['ocimum basilicum']
octopus	"['""octopodiformes""[MeSH Terms] OR ""octopodiformes""[All Fields] OR ""octopus""[All Fields]', '""octopodiformes""[MeSH Terms] OR ""octopodiformes""[All Fields] OR ""octopus""[All Fields]']"	['octopodiformes', 'octopus']
octopus vulgaris	"['(""octopodiformes""[MeSH Terms] OR ""octopodiformes""[All Fields] OR ""octopus""[All Fields]) AND ""vulgaris""[All Fields]', '(""octopodiformes""[MeSH Terms] OR ""octopodiformes""[All Fields] OR ""octopus""[All Fields]) AND vulgaris[All Fields]']"	['octopodiformes vulgaris', 'octopus vulgaris']
odocoileus	"['""odocoileus""[All Fields]', 'odocoileus[All Fields]']"	['odocoileus']
oenothera biennis	"['""oenothera biennis""[MeSH Terms] OR (""oenothera""[All Fields] AND ""biennis""[All Fields]) OR ""oenothera biennis""[All Fields]', '""oenothera biennis""[MeSH Terms] OR (""oenothera""[All Fields] AND ""biennis""[All Fields]) OR ""oenothera biennis""[All Fields]']"	['oenothera biennis']
ohelo berry	"['""ohelo""[All Fields] AND (""berried""[All Fields] OR ""fruit""[MeSH Terms] OR ""fruit""[All Fields] OR ""berries""[All Fields] OR ""berry""[All Fields])', 'ohelo[All Fields] AND (""fruit""[MeSH Terms] OR ""fruit""[All Fields] OR ""berry""[All Fields])']"	['ohelo berried', 'ohelo berries', 'ohelo berry', 'ohelo fruit']
oil	"['""oil""[All Fields]', 'oil[All Fields]']"	['oil']
oil palm	"['""palm oil""[MeSH Terms] OR (""palm""[All Fields] AND ""oil""[All Fields]) OR ""palm oil""[All Fields] OR (""oil""[All Fields] AND ""palm""[All Fields]) OR ""oil palm""[All Fields]', 'oil[All Fields] AND palm[All Fields]']"	['oil palm', 'palm oil']
oil-seed camellia	"['""oil-seed""[All Fields] AND (""camellia""[MeSH Terms] OR ""camellia""[All Fields] OR ""camellias""[All Fields] OR ""camelliae""[All Fields])', 'oil-seed[All Fields] AND (""camellia""[MeSH Terms] OR ""camellia""[All Fields])']"	['oil-seed camellia', 'oil-seed camelliae', 'oil-seed camellias']
okra	"['""abelmoschus""[MeSH Terms] OR ""abelmoschus""[All Fields] OR ""okra""[All Fields]', '""abelmoschus""[MeSH Terms] OR ""abelmoschus""[All Fields] OR ""okra""[All Fields]']"	['abelmoschus', 'okra']
olea europaea	"['""olea""[MeSH Terms] OR ""olea""[All Fields] OR (""olea""[All Fields] AND ""europaea""[All Fields]) OR ""olea europaea""[All Fields]', '""olea""[MeSH Terms] OR ""olea""[All Fields] OR (""olea""[All Fields] AND ""europaea""[All Fields]) OR ""olea europaea""[All Fields]']"	['olea', 'olea europaea']
olive	"['""olea""[MeSH Terms] OR ""olea""[All Fields] OR ""olives""[All Fields] OR ""olivary nucleus""[MeSH Terms] OR (""olivary""[All Fields] AND ""nucleus""[All Fields]) OR ""olivary nucleus""[All Fields] OR ""olive""[All Fields]', '""olivary nucleus""[MeSH Terms] OR (""olivary""[All Fields] AND ""nucleus""[All Fields]) OR ""olivary nucleus""[All Fields] OR ""olive""[All Fields] OR ""olea""[MeSH Terms] OR ""olea""[All Fields]']"	['olea', 'olivary nucleus', 'olive', 'olives']
oncorhynchus	"['""oncorhynchus""[MeSH Terms] OR ""oncorhynchus""[All Fields]', '""oncorhynchus""[MeSH Terms] OR ""oncorhynchus""[All Fields]']"	['oncorhynchus']
oncorhynchus gorbuscha	"['""salmon""[MeSH Terms] OR ""salmon""[All Fields] OR (""oncorhynchus""[All Fields] AND ""gorbuscha""[All Fields]) OR ""oncorhynchus gorbuscha""[All Fields]', '""salmon""[MeSH Terms] OR ""salmon""[All Fields] OR (""oncorhynchus""[All Fields] AND ""gorbuscha""[All Fields]) OR ""oncorhynchus gorbuscha""[All Fields]']"	['oncorhynchus gorbuscha', 'salmon']
oncorhynchus keta	"['""oncorhynchus keta""[MeSH Terms] OR (""oncorhynchus""[All Fields] AND ""keta""[All Fields]) OR ""oncorhynchus keta""[All Fields]', '""oncorhynchus keta""[MeSH Terms] OR (""oncorhynchus""[All Fields] AND ""keta""[All Fields]) OR ""oncorhynchus keta""[All Fields]']"	['oncorhynchus keta']
oncorhynchus kisutch	"['""oncorhynchus kisutch""[MeSH Terms] OR (""oncorhynchus""[All Fields] AND ""kisutch""[All Fields]) OR ""oncorhynchus kisutch""[All Fields]', '""oncorhynchus kisutch""[MeSH Terms] OR (""oncorhynchus""[All Fields] AND ""kisutch""[All Fields]) OR ""oncorhynchus kisutch""[All Fields]']"	['oncorhynchus kisutch']
oncorhynchus mykiss	"['""oncorhynchus mykiss""[MeSH Terms] OR (""oncorhynchus""[All Fields] AND ""mykiss""[All Fields]) OR ""oncorhynchus mykiss""[All Fields]', '""oncorhynchus mykiss""[MeSH Terms] OR (""oncorhynchus""[All Fields] AND ""mykiss""[All Fields]) OR ""oncorhynchus mykiss""[All Fields]']"	['oncorhynchus mykiss']
oncorhynchus nerka	"['""salmon""[MeSH Terms] OR ""salmon""[All Fields] OR (""oncorhynchus""[All Fields] AND ""nerka""[All Fields]) OR ""oncorhynchus nerka""[All Fields]', '""salmon""[MeSH Terms] OR ""salmon""[All Fields] OR (""oncorhynchus""[All Fields] AND ""nerka""[All Fields]) OR ""oncorhynchus nerka""[All Fields]']"	['oncorhynchus nerka', 'salmon']
oncorhynchus tshawytscha	"['""salmon""[MeSH Terms] OR ""salmon""[All Fields] OR (""oncorhynchus""[All Fields] AND ""tshawytscha""[All Fields]) OR ""oncorhynchus tshawytscha""[All Fields]', '""salmon""[MeSH Terms] OR ""salmon""[All Fields] OR (""oncorhynchus""[All Fields] AND ""tshawytscha""[All Fields]) OR ""oncorhynchus tshawytscha""[All Fields]']"	['oncorhynchus tshawytscha', 'salmon']
onion	"['""onions""[MeSH Terms] OR ""onions""[All Fields] OR ""onion""[All Fields]', '""onions""[MeSH Terms] OR ""onions""[All Fields] OR ""onion""[All Fields]']"	['onion', 'onions']
ophiodon elongatus	"['""ophiodon""[All Fields] AND ""elongatus""[All Fields]', 'ophiodon[All Fields] AND elongatus[All Fields]']"	['ophiodon elongatus']
opuntia	"['""opuntia""[MeSH Terms] OR ""opuntia""[All Fields] OR ""opuntiae""[All Fields] OR ""opuntias""[All Fields]', '""opuntia""[MeSH Terms] OR ""opuntia""[All Fields]']"	['opuntia', 'opuntiae', 'opuntias']
opuntia cochenillifera	"['(""opuntia""[MeSH Terms] OR ""opuntia""[All Fields] OR ""opuntiae""[All Fields] OR ""opuntias""[All Fields]) AND ""cochenillifera""[All Fields]', '(""opuntia""[MeSH Terms] OR ""opuntia""[All Fields]) AND cochenillifera[All Fields]']"	['opuntia cochenillifera', 'opuntiae cochenillifera', 'opuntias cochenillifera']
opuntia macrorhiza	"['(""opuntia""[MeSH Terms] OR ""opuntia""[All Fields] OR ""opuntiae""[All Fields] OR ""opuntias""[All Fields]) AND ""macrorhiza""[All Fields]', '(""opuntia""[MeSH Terms] OR ""opuntia""[All Fields]) AND macrorhiza[All Fields]']"	['opuntia macrorhiza', 'opuntiae macrorhiza', 'opuntias macrorhiza']
orange	"['""citrus sinensis""[MeSH Terms] OR (""citrus""[All Fields] AND ""sinensis""[All Fields]) OR ""citrus sinensis""[All Fields] OR ""orange""[All Fields] OR ""oranges""[All Fields]', '""citrus sinensis""[MeSH Terms] OR (""citrus""[All Fields] AND ""sinensis""[All Fields]) OR ""citrus sinensis""[All Fields] OR ""orange""[All Fields]']"	['citrus sinensis', 'orange', 'oranges']
